Time from Start to Finish (seconds),Q1,Q6,Q7,Q10,Q11,Q15,Q22,Q23
258,30-34,,,,,< 1 years,Never,< 1 years
253,22-24,,,,,< 1 years,6-24 times,< 1 years
476,25-29,"1000-9,999 employees",9-May,"15,000-19,999",$0 (USD),3-5 years,2-5 times,2-3 years
734,25-29,50-249 employees,9-May,"70,000-79,999","$1000-$9,999",1-2 years,Never,2-3 years
5293,45-49,"> 10,000 employees",14-Oct,"10,000-14,999",$0 (USD),1-2 years,Never,2-3 years
1508,40-44,"> 10,000 employees",20+,"80,000-89,999","> $100,000 ($USD)",3-5 years,Never,1-2 years
223,18-21,,,,,I have never written code,,
40,25-29,,,,,,,
316,18-21,,,,,< 1 years,Never,< 1 years
606,25-29,0-49 employees,4-Mar,"80,000-89,999","> $100,000 ($USD)",1-2 years,Never,1-2 years
719,22-24,0-49 employees,4-Mar,$0-999,$1-$99,,,
822,18-21,,,,,3-5 years,2-5 times,2-3 years
1655,40-44,250-999 employees,2-Jan,"60,000-69,999","$1000-$9,999",3-5 years,Once,3-4 years
573,18-21,,,,,1-2 years,Never,1-2 years
236,22-24,,,,,< 1 years,,
491,30-34,250-999 employees,9-May,"2,000-2,999",$0 (USD),1-2 years,Never,2-3 years
1077,22-24,0-49 employees,2-Jan,$0-999,$1-$99,3-5 years,Never,1-2 years
548,22-24,"> 10,000 employees",20+,$0-999,$0 (USD),3-5 years,2-5 times,2-3 years
420,22-24,,,,,1-2 years,Never,1-2 years
255,18-21,,,,,1-2 years,Never,< 1 years
267,25-29,"> 10,000 employees",2-Jan,"10,000-14,999",$0 (USD),3-5 years,Never,3-4 years
640,18-21,,,,,< 1 years,Never,< 1 years
481,25-29,50-249 employees,4-Mar,"3,000-3,999",$0 (USD),< 1 years,Never,1-2 years
549,25-29,0-49 employees,2-Jan,"7,500-9,999",$100-$999,3-5 years,Never,1-2 years
287,25-29,"> 10,000 employees",4-Mar,"25,000-29,999",$1-$99,3-5 years,Once,3-4 years
328,30-34,,,,,< 1 years,Never,< 1 years
375,18-21,,,,,5-10 years,Never,< 1 years
279,18-21,,,,,1-2 years,Never,1-2 years
335,25-29,0-49 employees,0,"4,000-4,999",$100-$999,I have never written code,,
299,22-24,250-999 employees,20+,"10,000-14,999",$0 (USD),3-5 years,6-24 times,1-2 years
673,22-24,0-49 employees,0,$0-999,$0 (USD),< 1 years,Never,< 1 years
2749,22-24,,,,,1-2 years,Never,< 1 years
969,30-34,,,,,3-5 years,Never,2-3 years
372,22-24,,,,,< 1 years,Never,< 1 years
378,18-21,,,,,1-2 years,Never,1-2 years
327,18-21,,,,,< 1 years,Never,< 1 years
397,22-24,"> 10,000 employees",14-Oct,"10,000-14,999","$1000-$9,999",3-5 years,Once,3-4 years
7425,22-24,"> 10,000 employees",20+,$0-999,$100-$999,5-10 years,Once,2-3 years
903,45-49,,,,,3-5 years,Never,3-4 years
647,22-24,0-49 employees,4-Mar,"1,000-1,999",$100-$999,< 1 years,Once,1-2 years
302,25-29,50-249 employees,0,"1,000-1,999",$0 (USD),< 1 years,Never,< 1 years
514,25-29,"1000-9,999 employees",9-May,"15,000-19,999",$100-$999,1-2 years,Never,1-2 years
216001,22-24,,,,,,,
485,22-24,50-249 employees,9-May,"7,500-9,999",$1-$99,< 1 years,Never,< 1 years
425,22-24,0-49 employees,2-Jan,$0-999,$1-$99,< 1 years,Never,1-2 years
330,22-24,,,,,3-5 years,Once,1-2 years
779,22-24,0-49 employees,2-Jan,$0-999,$1-$99,3-5 years,Never,1-2 years
552,22-24,250-999 employees,2-Jan,"7,500-9,999",$1-$99,3-5 years,Never,2-3 years
653,30-34,0-49 employees,4-Mar,"50,000-59,999","$10,000-$99,999",1-2 years,2-5 times,1-2 years
396,22-24,"> 10,000 employees",20+,"1,000-1,999",$1-$99,< 1 years,Never,< 1 years
390,35-39,50-249 employees,2-Jan,"50,000-59,999",$0 (USD),10-20 years,Never,3-4 years
513,22-24,"1000-9,999 employees",2-Jan,"2,000-2,999","$1000-$9,999",3-5 years,Never,4-5 years
723,25-29,"1000-9,999 employees",14-Oct,"50,000-59,999","$1000-$9,999",3-5 years,Never,2-3 years
982,25-29,"> 10,000 employees",0,"7,500-9,999",$100-$999,1-2 years,Never,1-2 years
818,25-29,"1000-9,999 employees",2-Jan,"30,000-39,999",$0 (USD),3-5 years,Never,2-3 years
448,35-39,"> 10,000 employees",20+,"200,000-249,999",$0 (USD),< 1 years,Never,< 1 years
640,45-49,"> 10,000 employees",2-Jan,"125,000-149,999",$0 (USD),1-2 years,Never,1-2 years
667,25-29,250-999 employees,14-Oct,"10,000-14,999",$100-$999,1-2 years,Never,1-2 years
986,35-39,"1000-9,999 employees",14-Oct,"30,000-39,999","$1000-$9,999",< 1 years,2-5 times,1-2 years
3993,18-21,250-999 employees,9-May,$0-999,$100-$999,< 1 years,Never,< 1 years
4238,25-29,50-249 employees,14-Oct,"7,500-9,999",$1-$99,3-5 years,Once,3-4 years
431,22-24,50-249 employees,2-Jan,"125,000-149,999",$100-$999,3-5 years,Never,2-3 years
860,55-59,50-249 employees,2-Jan,"80,000-89,999","$1000-$9,999",5-10 years,Never,1-2 years
966,35-39,50-249 employees,2-Jan,"10,000-14,999",$100-$999,< 1 years,Once,< 1 years
389,18-21,,,,,1-2 years,Never,1-2 years
411,22-24,50-249 employees,9-May,"7,500-9,999",$100-$999,< 1 years,Never,< 1 years
407,25-29,,,,,< 1 years,Never,< 1 years
8313,40-44,0-49 employees,2-Jan,$0-999,$0 (USD),3-5 years,Never,< 1 years
665,25-29,0-49 employees,4-Mar,"30,000-39,999","$1000-$9,999",3-5 years,Never,4-5 years
1577,22-24,,,,,,,
449,25-29,"> 10,000 employees",14-Oct,"5,000-7,499",$0 (USD),1-2 years,Never,1-2 years
605,25-29,0-49 employees,0,"70,000-79,999",$0 (USD),3-5 years,Never,1-2 years
12170,18-21,0-49 employees,2-Jan,"5,000-7,499",$100-$999,3-5 years,2-5 times,1-2 years
637,35-39,"> 10,000 employees",2-Jan,"7,500-9,999",$0 (USD),< 1 years,Once,1-2 years
276,18-21,,,,,5-10 years,Never,2-3 years
512,25-29,,,,,3-5 years,Never,1-2 years
536,22-24,"1000-9,999 employees",9-May,"40,000-49,999",$0 (USD),1-2 years,Never,1-2 years
249,22-24,,,,,5-10 years,Never,3-4 years
592,22-24,"1000-9,999 employees",14-Oct,$0-999,$100-$999,1-2 years,6-24 times,1-2 years
283,18-21,,,,,1-2 years,,
633,30-34,0-49 employees,2-Jan,"50,000-59,999",$100-$999,1-2 years,Never,2-3 years
625,22-24,"1000-9,999 employees",9-May,"40,000-49,999",$100-$999,3-5 years,Never,2-3 years
424,22-24,0-49 employees,0,$0-999,$0 (USD),1-2 years,Never,1-2 years
178325,25-29,50-249 employees,14-Oct,"25,000-29,999",$0 (USD),1-2 years,Never,1-2 years
233,25-29,,,,,3-5 years,Never,3-4 years
481,35-39,250-999 employees,4-Mar,"90,000-99,999","$1000-$9,999",3-5 years,Never,2-3 years
391,25-29,0-49 employees,0,"30,000-39,999",$0 (USD),3-5 years,Never,< 1 years
1025,45-49,"1000-9,999 employees",0,"50,000-59,999","$1000-$9,999",< 1 years,2-5 times,1-2 years
578,25-29,50-249 employees,4-Mar,"25,000-29,999",$100-$999,3-5 years,Once,< 1 years
408,22-24,,,,,< 1 years,Never,< 1 years
315,22-24,,,,,< 1 years,Never,1-2 years
653,25-29,"> 10,000 employees",20+,"40,000-49,999",$0 (USD),3-5 years,Once,10-15 years
605,25-29,"1000-9,999 employees",9-May,"10,000-14,999","$10,000-$99,999",< 1 years,Never,< 1 years
318,18-21,,,,,I have never written code,,
966,22-24,0-49 employees,4-Mar,"25,000-29,999","$1000-$9,999",1-2 years,Once,2-3 years
543,25-29,0-49 employees,0,"40,000-49,999",$0 (USD),1-2 years,Never,1-2 years
312,22-24,,,,,1-2 years,Never,< 1 years
616,30-34,50-249 employees,4-Mar,$0-999,$100-$999,< 1 years,2-5 times,< 1 years
821,25-29,0-49 employees,4-Mar,"30,000-39,999",$1-$99,1-2 years,Once,1-2 years
629,22-24,0-49 employees,20+,"40,000-49,999",$0 (USD),5-10 years,Never,4-5 years
6682,25-29,"1000-9,999 employees",0,$0-999,$100-$999,< 1 years,Once,< 1 years
269,30-34,,,,,3-5 years,Never,2-3 years
548,25-29,"1000-9,999 employees",20+,"50,000-59,999",$100-$999,3-5 years,Never,3-4 years
555,25-29,"1000-9,999 employees",20+,"50,000-59,999","$10,000-$99,999",3-5 years,Never,2-3 years
1631,25-29,50-249 employees,4-Mar,"50,000-59,999",$0 (USD),< 1 years,Never,< 1 years
308,22-24,,,,,1-2 years,Never,< 1 years
642,25-29,50-249 employees,4-Mar,"5,000-7,499",$0 (USD),3-5 years,Never,3-4 years
397,25-29,0-49 employees,4-Mar,"60,000-69,999","$1000-$9,999",1-2 years,Never,1-2 years
165,22-24,,,,,I have never written code,,
667,25-29,50-249 employees,14-Oct,"40,000-49,999","$10,000-$99,999",3-5 years,Never,3-4 years
1195,22-24,0-49 employees,20+,"10,000-14,999",$1-$99,5-10 years,Never,2-3 years
374,22-24,,,,,,,
272,25-29,,,,,3-5 years,Never,3-4 years
608,25-29,"> 10,000 employees",4-Mar,"100,000-124,999","$1000-$9,999",3-5 years,Never,2-3 years
124860,25-29,,,,,,,
801,25-29,"> 10,000 employees",2-Jan,"5,000-7,499",$1-$99,3-5 years,Once,2-3 years
427,22-24,250-999 employees,20+,$0-999,$100-$999,1-2 years,Never,< 1 years
606,25-29,"> 10,000 employees",20+,"25,000-29,999","$1000-$9,999",3-5 years,Never,3-4 years
274,18-21,,,,,1-2 years,Never,< 1 years
557,22-24,"1000-9,999 employees",9-May,"70,000-79,999","$1000-$9,999",10-20 years,Never,2-3 years
613,35-39,"1000-9,999 employees",9-May,"4,000-4,999",$100-$999,1-2 years,Never,1-2 years
547,18-21,,,,,< 1 years,Never,1-2 years
992,40-44,50-249 employees,2-Jan,"60,000-69,999","$10,000-$99,999",< 1 years,Never,< 1 years
200,25-29,0-49 employees,4-Mar,,,,,
892,30-34,0-49 employees,2-Jan,"5,000-7,499",$100-$999,3-5 years,Never,2-3 years
440,35-39,"> 10,000 employees",20+,"60,000-69,999",$0 (USD),10-20 years,Never,2-3 years
1814,45-49,250-999 employees,9-May,"50,000-59,999","> $100,000 ($USD)",10-20 years,Never,10-15 years
721,40-44,50-249 employees,2-Jan,"40,000-49,999",$100-$999,1-2 years,Once,< 1 years
478,35-39,250-999 employees,0,"1,000-1,999",$0 (USD),I have never written code,,
340454,25-29,0-49 employees,2-Jan,"30,000-39,999",$100-$999,3-5 years,Never,4-5 years
177663,25-29,50-249 employees,2-Jan,"70,000-79,999","$1000-$9,999",1-2 years,Once,1-2 years
430,22-24,"1000-9,999 employees",15-19,$0-999,$0 (USD),< 1 years,Never,< 1 years
871,25-29,50-249 employees,4-Mar,"30,000-39,999",$0 (USD),3-5 years,Never,3-4 years
473,18-21,,,,,< 1 years,Never,< 1 years
327,25-29,50-249 employees,0,$0-999,$0 (USD),I have never written code,,
648,25-29,0-49 employees,4-Mar,"25,000-29,999",$0 (USD),1-2 years,2-5 times,1-2 years
298,18-21,50-249 employees,2-Jan,"3,000-3,999",$100-$999,,,
438,22-24,"> 10,000 employees",20+,"40,000-49,999","> $100,000 ($USD)",1-2 years,Never,1-2 years
6336,35-39,0-49 employees,2-Jan,"60,000-69,999","$1000-$9,999",1-2 years,Never,1-2 years
123,35-39,,,,,,,
490,22-24,50-249 employees,4-Mar,"3,000-3,999",$0 (USD),1-2 years,Never,< 1 years
700,22-24,,,,,1-2 years,Never,1-2 years
789,25-29,50-249 employees,2-Jan,"70,000-79,999","$1000-$9,999",3-5 years,Never,3-4 years
3238,25-29,50-249 employees,0,"20,000-24,999",$1-$99,< 1 years,Never,< 1 years
486,22-24,,,,,1-2 years,Never,1-2 years
737,40-44,0-49 employees,2-Jan,"5,000-7,499",$100-$999,5-10 years,Never,10-15 years
768,22-24,250-999 employees,9-May,"3,000-3,999",$1-$99,1-2 years,Never,1-2 years
385,30-34,"1000-9,999 employees",4-Mar,"25,000-29,999","$1000-$9,999",5-10 years,Never,< 1 years
732,25-29,"1000-9,999 employees",15-19,"50,000-59,999","> $100,000 ($USD)",3-5 years,Never,2-3 years
1247,45-49,"> 10,000 employees",20+,"40,000-49,999","$1000-$9,999",3-5 years,2-5 times,2-3 years
634,45-49,"> 10,000 employees",20+,"80,000-89,999","$1000-$9,999",5-10 years,6-24 times,4-5 years
632,22-24,0-49 employees,4-Mar,"10,000-14,999",$0 (USD),5-10 years,Never,4-5 years
549,25-29,"> 10,000 employees",20+,"15,000-19,999",$0 (USD),3-5 years,Never,4-5 years
476,22-24,,,,,1-2 years,Never,< 1 years
1016,25-29,"> 10,000 employees",0,$0-999,"> $100,000 ($USD)",20+ years,Never,20+ years
322,35-39,,,,,< 1 years,2-5 times,< 1 years
733,30-34,0-49 employees,14-Oct,"5,000-7,499","$10,000-$99,999",1-2 years,Never,1-2 years
59806,18-21,0-49 employees,4-Mar,"10,000-14,999",$0 (USD),1-2 years,Never,1-2 years
572,22-24,"> 10,000 employees",20+,"1,000-1,999",$1-$99,1-2 years,Once,< 1 years
674,40-44,"1000-9,999 employees",4-Mar,"70,000-79,999",$100-$999,3-5 years,Once,2-3 years
358,25-29,50-249 employees,2-Jan,"10,000-14,999",$100-$999,1-2 years,Never,1-2 years
1325,25-29,50-249 employees,4-Mar,"30,000-39,999",$100-$999,< 1 years,Never,< 1 years
713,18-21,50-249 employees,20+,"15,000-19,999","$10,000-$99,999",1-2 years,Never,1-2 years
396,22-24,0-49 employees,4-Mar,"2,000-2,999","$1000-$9,999",3-5 years,Once,1-2 years
398,22-24,,,,,3-5 years,Never,2-3 years
687,50-54,50-249 employees,2-Jan,"90,000-99,999",$0 (USD),20+ years,Never,4-5 years
480696,22-24,0-49 employees,0,"3,000-3,999",$1-$99,,,
304,22-24,,,,,< 1 years,Never,< 1 years
740,22-24,250-999 employees,9-May,"10,000-14,999",$1-$99,< 1 years,2-5 times,< 1 years
366,22-24,0-49 employees,2-Jan,$0-999,$0 (USD),1-2 years,Never,1-2 years
5545,18-21,,,,,,,
267,22-24,,,,,1-2 years,Never,1-2 years
996,18-21,,,,,< 1 years,Never,< 1 years
123,18-21,,,,,,,
904,22-24,,,,,1-2 years,,
890,22-24,0-49 employees,4-Mar,"7,500-9,999","$1000-$9,999",1-2 years,2-5 times,3-4 years
139,25-29,"1000-9,999 employees",0,"20,000-24,999",$0 (USD),,,
1426,45-49,250-999 employees,0,"10,000-14,999",$0 (USD),3-5 years,Never,3-4 years
200,25-29,0-49 employees,2-Jan,"10,000-14,999",$0 (USD),I have never written code,,
367,22-24,50-249 employees,4-Mar,$0-999,"$10,000-$99,999",3-5 years,2-5 times,3-4 years
119,30-34,50-249 employees,20+,,,,,
331,25-29,0-49 employees,2-Jan,$0-999,$0 (USD),< 1 years,Never,< 1 years
92,25-29,"> 10,000 employees",,,,,,
1795,25-29,50-249 employees,9-May,"15,000-19,999",$100-$999,3-5 years,Once,4-5 years
330,18-21,,,,,1-2 years,,
550,22-24,0-49 employees,0,$0-999,$1-$99,< 1 years,Never,< 1 years
736,22-24,"> 10,000 employees",20+,$0-999,$100-$999,1-2 years,Never,< 1 years
870,25-29,0-49 employees,2-Jan,"40,000-49,999",$100-$999,1-2 years,Never,1-2 years
152552,30-34,0-49 employees,2-Jan,"20,000-24,999",$0 (USD),3-5 years,> 25 times,4-5 years
495401,40-44,50-249 employees,0,,,,,
525,25-29,"1000-9,999 employees",9-May,$0-999,$0 (USD),3-5 years,Never,< 1 years
809,40-44,50-249 employees,9-May,"40,000-49,999",$100-$999,< 1 years,Never,< 1 years
130,45-49,50-249 employees,4-Mar,,,,,
232,30-34,250-999 employees,0,,,,,
94,35-39,0-49 employees,,,,,,
174,35-39,"> 10,000 employees",0,,,,,
157,35-39,50-249 employees,9-May,"125,000-149,999",,,,
69,25-29,,,,,,,
507886,25-29,0-49 employees,2-Jan,$0-999,,,,
110409,25-29,"1000-9,999 employees",4-Mar,"5,000-7,499",$100-$999,1-2 years,Once,1-2 years
169,25-29,0-49 employees,,,,,,
154,35-39,"1000-9,999 employees",,,,,,
172582,22-24,,,,,3-5 years,Never,< 1 years
293,22-24,50-249 employees,9-May,$0-999,$0 (USD),,,
476,30-34,"> 10,000 employees",20+,"3,000-3,999",$100-$999,5-10 years,Never,5-10 years
1106,25-29,50-249 employees,9-May,"25,000-29,999",$1-$99,1-2 years,Never,1-2 years
139,50-54,0-49 employees,2-Jan,,,,,
117,55-59,0-49 employees,4-Mar,,,,,
520,35-39,"> 10,000 employees",0,"50,000-59,999","$10,000-$99,999",< 1 years,Never,< 1 years
93,25-29,,,,,,,
2102,30-34,,,,,1-2 years,Never,1-2 years
616,45-49,0-49 employees,0,,,,,
89,40-44,"> 10,000 employees",4-Mar,,,,,
120,18-21,,,,,,,
1054,18-21,0-49 employees,4-Mar,,,,,
835,25-29,250-999 employees,0,"1,000-1,999",$0 (USD),< 1 years,Never,< 1 years
462,45-49,"1000-9,999 employees",14-Oct,"70,000-79,999","$1000-$9,999",1-2 years,Never,1-2 years
60,25-29,,,,,,,
221,25-29,0-49 employees,0,"5,000-7,499",$1-$99,,,
988,30-34,50-249 employees,2-Jan,"10,000-14,999",$1-$99,1-2 years,Once,1-2 years
689,25-29,"> 10,000 employees",9-May,"60,000-69,999","$10,000-$99,999",1-2 years,2-5 times,1-2 years
87,18-21,,,,,,,
65,30-34,,,,,,,
71,35-39,,,,,,,
277,22-24,,,,,1-2 years,Never,< 1 years
204,50-54,50-249 employees,20+,,,,,
450,25-29,,,,,< 1 years,Never,< 1 years
1614,25-29,0-49 employees,2-Jan,"30,000-39,999","$10,000-$99,999",,,
419,25-29,,,,,1-2 years,Never,1-2 years
478448,25-29,"> 10,000 employees",4-Mar,,,,,
643,22-24,,,,,1-2 years,Never,2-3 years
678,22-24,,,,,< 1 years,Never,1-2 years
2072,25-29,,,,,,,
475,55-59,"1000-9,999 employees",4-Mar,,,,,
109,22-24,50-249 employees,,,,,,
512920,25-29,0-49 employees,2-Jan,"1,000-1,999",$1-$99,,,
594,25-29,250-999 employees,2-Jan,"25,000-29,999","$1000-$9,999",3-5 years,Never,1-2 years
1575,25-29,"1000-9,999 employees",2-Jan,"60,000-69,999",$0 (USD),< 1 years,Never,1-2 years
510,25-29,"> 10,000 employees",20+,"25,000-29,999","$10,000-$99,999",3-5 years,Never,4-5 years
729,22-24,0-49 employees,4-Mar,"1,000-1,999",$1-$99,1-2 years,2-5 times,1-2 years
197,18-21,,,,,,,
51,22-24,,,,,,,
670,35-39,"> 10,000 employees",9-May,"40,000-49,999","$1000-$9,999",,,
105,22-24,,,,,,,
370,25-29,"1000-9,999 employees",2-Jan,"2,000-2,999",$0 (USD),3-5 years,Once,< 1 years
101,25-29,0-49 employees,0,$0-999,,,,
436,18-21,0-49 employees,4-Mar,"15,000-19,999","$10,000-$99,999",1-2 years,Never,1-2 years
284,22-24,0-49 employees,2-Jan,$0-999,$0 (USD),,,
338,22-24,50-249 employees,14-Oct,"1,000-1,999",,,,
267,30-34,250-999 employees,4-Mar,"1,000-1,999",$1-$99,1-2 years,,
58,25-29,,,,,,,
416,30-34,"1000-9,999 employees",15-19,"10,000-14,999",$0 (USD),,,
157,18-21,,,,,,,
613,25-29,250-999 employees,20+,"150,000-199,999","$1000-$9,999",5-10 years,Never,5-10 years
616,25-29,0-49 employees,9-May,"70,000-79,999","$10,000-$99,999",3-5 years,Never,5-10 years
115,22-24,"> 10,000 employees",4-Mar,,,,,
3980,40-44,"> 10,000 employees",2-Jan,"60,000-69,999","$1000-$9,999",3-5 years,2-5 times,4-5 years
265,18-21,,,,,,,
358,22-24,0-49 employees,2-Jan,"15,000-19,999",$1-$99,1-2 years,Never,1-2 years
870,25-29,50-249 employees,14-Oct,,,,,
424,35-39,0-49 employees,4-Mar,"5,000-7,499","$1000-$9,999",,,
244,18-21,,,,,,,
249,18-21,,,,,,,
588,18-21,,,,,< 1 years,Never,< 1 years
391,18-21,,,,,< 1 years,Never,< 1 years
113,18-21,"> 10,000 employees",0,$0-999,,,,
329,35-39,0-49 employees,0,"2,000-2,999",$0 (USD),,,
139,35-39,"> 10,000 employees",9-May,"80,000-89,999","> $100,000 ($USD)",,,
457,55-59,"> 10,000 employees",0,"10,000-14,999","$1000-$9,999",3-5 years,,
610,25-29,0-49 employees,4-Mar,"5,000-7,499","$10,000-$99,999",1-2 years,Never,1-2 years
126,22-24,0-49 employees,2-Jan,$0-999,$0 (USD),,,
91,22-24,"> 10,000 employees",,,,,,
1454,25-29,"> 10,000 employees",2-Jan,"30,000-39,999","$1000-$9,999",1-2 years,Never,1-2 years
198,22-24,"1000-9,999 employees",9-May,"4,000-4,999",,,,
575,22-24,0-49 employees,0,"3,000-3,999",$0 (USD),< 1 years,Never,< 1 years
145,22-24,50-249 employees,20+,,,,,
422,40-44,"1000-9,999 employees",4-Mar,"100,000-124,999",$0 (USD),,,
483627,45-49,,,,,,,
44,35-39,,,,,,,
186,25-29,250-999 employees,20+,"2,000-2,999",$100-$999,,,
8819,25-29,0-49 employees,9-May,"10,000-14,999",$100-$999,3-5 years,Once,1-2 years
34,25-29,,,,,,,
753,22-24,"1000-9,999 employees",0,"20,000-24,999",$0 (USD),,,
288,60-69,"1000-9,999 employees",20+,"70,000-79,999","$10,000-$99,999",20+ years,,
669,40-44,"> 10,000 employees",20+,,,,,
90,18-21,,,,,,,
132,18-21,0-49 employees,2-Jan,"1,000-1,999",$0 (USD),,,
1106,35-39,"> 10,000 employees",20+,"50,000-59,999","> $100,000 ($USD)",3-5 years,Never,1-2 years
3174,18-21,,,,,,,
83,35-39,0-49 employees,0,,,,,
184,45-49,50-249 employees,20+,,,,,
150,22-24,"> 10,000 employees",20+,$0-999,"$1000-$9,999",,,
514,25-29,"> 10,000 employees",0,$0-999,$0 (USD),3-5 years,Never,< 1 years
1467,25-29,0-49 employees,2-Jan,"5,000-7,499","$1000-$9,999",1-2 years,Never,1-2 years
141,22-24,0-49 employees,4-Mar,,,,,
467544,22-24,0-49 employees,2-Jan,,,,,
297,22-24,,,,,,,
89,18-21,,,,,,,
2278,40-44,0-49 employees,4-Mar,,,,,
814,25-29,,,,,1-2 years,Never,1-2 years
3832,25-29,50-249 employees,4-Mar,,,,,
189,45-49,0-49 employees,0,,,,,
144,22-24,50-249 employees,14-Oct,,,,,
376,35-39,"> 10,000 employees",20+,"60,000-69,999","$10,000-$99,999",1-2 years,Never,< 1 years
108,22-24,,,,,,,
474,30-34,"1000-9,999 employees",2-Jan,"30,000-39,999","$10,000-$99,999",3-5 years,Never,10-15 years
1140,22-24,,,,,1-2 years,Never,1-2 years
614,18-21,,,,,3-5 years,Never,1-2 years
337,25-29,0-49 employees,4-Mar,"10,000-14,999",$0 (USD),,,
88,30-34,"> 10,000 employees",20+,,,,,
346915,18-21,,,,,,,
523,22-24,50-249 employees,14-Oct,"15,000-19,999",$100-$999,3-5 years,Once,2-3 years
822,25-29,,,,,,,
362,22-24,"1000-9,999 employees",0,"7,500-9,999",$0 (USD),1-2 years,Never,1-2 years
99,25-29,50-249 employees,0,,,,,
487,22-24,"1000-9,999 employees",2-Jan,$0-999,$1-$99,3-5 years,Never,1-2 years
123,40-44,"> 10,000 employees",0,,,,,
252,25-29,250-999 employees,20+,"5,000-7,499",$0 (USD),,,
165,22-24,50-249 employees,0,"3,000-3,999",,,,
247,35-39,50-249 employees,2-Jan,,,,,
241,18-21,0-49 employees,2-Jan,$0-999,$1-$99,,,
144,35-39,50-249 employees,2-Jan,,,,,
1943,18-21,,,,,< 1 years,Once,< 1 years
279,30-34,,,,,,,
85,30-34,"1000-9,999 employees",20+,,,,,
316,25-29,250-999 employees,14-Oct,"1,000-1,999",$100-$999,,,
205,22-24,0-49 employees,4-Mar,,,,,
529,25-29,50-249 employees,20+,"15,000-19,999",$0 (USD),3-5 years,Never,4-5 years
92,22-24,50-249 employees,4-Mar,,,,,
180,22-24,"1000-9,999 employees",9-May,,,,,
63,25-29,"> 10,000 employees",,,,,,
87,22-24,,,,,,,
489,30-34,"1000-9,999 employees",2-Jan,"40,000-49,999","$1000-$9,999",1-2 years,Never,1-2 years
381,35-39,"1000-9,999 employees",4-Mar,,,,,
628,30-34,0-49 employees,2-Jan,"10,000-14,999",$0 (USD),3-5 years,Never,1-2 years
713,25-29,,,,,3-5 years,Never,3-4 years
308,30-34,0-49 employees,0,"4,000-4,999",$0 (USD),I have never written code,,
498,25-29,0-49 employees,2-Jan,$0-999,$0 (USD),,,
439,18-21,250-999 employees,14-Oct,$0-999,$0 (USD),< 1 years,Never,< 1 years
569,18-21,,,,,< 1 years,Never,< 1 years
457458,35-39,"1000-9,999 employees",0,"40,000-49,999",$0 (USD),,,
102,25-29,,,,,,,
493,60-69,250-999 employees,20+,$0-999,$0 (USD),20+ years,Never,4-5 years
1357,35-39,"> 10,000 employees",9-May,"60,000-69,999","$1000-$9,999",< 1 years,2-5 times,< 1 years
256,35-39,50-249 employees,4-Mar,"90,000-99,999",$100-$999,< 1 years,,
269,22-24,,,,,1-2 years,Never,< 1 years
243,18-21,,,,,< 1 years,Never,< 1 years
632,50-54,0-49 employees,0,"50,000-59,999",$1-$99,3-5 years,2-5 times,< 1 years
182,22-24,,,,,,,
119,25-29,0-49 employees,,,,,,
346,22-24,,,,,1-2 years,Never,1-2 years
874,45-49,"> 10,000 employees",0,"90,000-99,999",$1-$99,< 1 years,Never,1-2 years
146,18-21,,,,,,,
346,45-49,"1000-9,999 employees",9-May,"20,000-24,999",$0 (USD),,,
522,35-39,50-249 employees,2-Jan,"100,000-124,999","> $100,000 ($USD)",3-5 years,Never,4-5 years
610,22-24,0-49 employees,2-Jan,$0-999,$0 (USD),< 1 years,Never,< 1 years
411,22-24,50-249 employees,20+,"40,000-49,999",$100-$999,1-2 years,Never,1-2 years
543,22-24,,,,,< 1 years,Never,< 1 years
157,40-44,0-49 employees,0,"2,000-2,999",,,,
67,18-21,50-249 employees,0,"30,000-39,999",,,,
213,25-29,250-999 employees,0,"50,000-59,999",$0 (USD),,,
729,18-21,0-49 employees,2-Jan,"1,000-1,999",,,,
1753,18-21,250-999 employees,,,,,,
183,35-39,50-249 employees,15-19,,,,,
190,22-24,,,,,< 1 years,,
111,18-21,0-49 employees,0,,,,,
271,25-29,,,,,,,
619,22-24,0-49 employees,9-May,"5,000-7,499","$1000-$9,999",,,
476,25-29,250-999 employees,4-Mar,"70,000-79,999",$0 (USD),5-10 years,Never,< 1 years
46,55-59,,,,,,,
452797,30-34,50-249 employees,4-Mar,,,,,
336,22-24,0-49 employees,,,,,,
318,25-29,,,,,,,
326,18-21,,,,,1-2 years,Once,< 1 years
612,35-39,"> 10,000 employees",15-19,"4,000-4,999",$100-$999,10-20 years,,
158,25-29,"> 10,000 employees",20+,"10,000-14,999","$1000-$9,999",,,
108,22-24,,,,,,,
137,18-21,,,,,,,
523,25-29,0-49 employees,2-Jan,"30,000-39,999",$0 (USD),3-5 years,Never,3-4 years
263,30-34,,,,,,,
46,30-34,,,,,,,
2728,22-24,"> 10,000 employees",2-Jan,"5,000-7,499",$100-$999,,,
614,22-24,,,,,1-2 years,Never,1-2 years
406,25-29,0-49 employees,0,"3,000-3,999",$0 (USD),< 1 years,Never,< 1 years
46,40-44,,,,,,,
512929,25-29,0-49 employees,14-Oct,"15,000-19,999","$1000-$9,999",,,
67,55-59,,,,,,,
166,50-54,0-49 employees,2-Jan,"150,000-199,999","$1000-$9,999",20+ years,,
1012,25-29,"> 10,000 employees",20+,,,,,
